# Generated by Tools/IngestSpectra. Do not edit by hand.
# name | colour index | provenance | L* | a* | b*
Titanium White | PW6 | TwoConstantMeasured | 98.21 | -0.67 | 0.34
Bismuth Vanadate Yellow | PY184 | TwoConstantMeasured | 91.74 | -11.71 | 95.93
Hansa Yellow Opaque | PY74 | TwoConstantMeasured | 85.49 | 1.93 | 106.38
Diarylide Yellow | PY83 | TwoConstantMeasured | 75.42 | 27.00 | 101.91
C.P. Cadmium Orange | PO20 | TwoConstantMeasured | 63.43 | 55.07 | 83.30
Pyrrole Orange | PO73 | TwoConstantMeasured | 54.41 | 65.30 | 75.61
C.P. Cadmium Red Light | PR108 | TwoConstantMeasured | 49.59 | 66.30 | 59.61
Pyrrole Red | PR254 | TwoConstantMeasured | 39.17 | 67.97 | 50.60
Quinacridone Red | PV19 | TwoConstantMeasured | 34.05 | 55.92 | 25.21
Quinacridone Magenta | PR122 | TwoConstantMeasured | 25.79 | 48.28 | 9.15
Dioxazine Purple | PV23 | TwoConstantMeasured | 13.47 | 5.55 | 3.30
Ultramarine Blue | PB29 | TwoConstantMeasured | 7.42 | 43.02 | -50.56
Cobalt Blue | PB28 | TwoConstantMeasured | 27.46 | 32.44 | -62.86
Phthalo Blue (R.S.) | PB15 | TwoConstantMeasured | 9.49 | 16.23 | -22.80
Phthalo Blue (G.S.) | PB15 | TwoConstantMeasured | 10.40 | 23.31 | -33.83
Cerulean Blue, Chromium | PB36 | TwoConstantMeasured | 33.75 | -1.57 | -42.26
Phthalo Green (B.S.) | PG7 | TwoConstantMeasured | 13.59 | -11.40 | -10.54
Phthalo Green (Y.S.) | PG36 | TwoConstantMeasured | 18.90 | -31.91 | 1.43
Bone Black | PBk9 | TwoConstantMeasured | 11.42 | 0.05 | -1.38
Alizarin Crimson Hue |  | ReflectanceDerived | 28.11 | 11.78 | 3.14
Anthraquinone Blue |  | ReflectanceDerived | 24.14 | 3.95 | -4.87
Azurite Hue |  | ReflectanceDerived | 30.50 | -1.60 | -17.17
Burnt Sienna |  | ReflectanceDerived | 34.23 | 17.71 | 13.73
Burnt Umber |  | ReflectanceDerived | 27.52 | 3.14 | 3.50
Burnt Umber Light |  | ReflectanceDerived | 29.46 | 6.93 | 6.77
Cad Red Dark |  | ReflectanceDerived | 38.94 | 48.10 | 21.26
Cad Red Medium |  | ReflectanceDerived | 43.19 | 54.67 | 28.91
Cad Yellow Dark |  | ReflectanceDerived | 81.23 | 19.84 | 90.82
Cad Yellow Medium |  | ReflectanceDerived | 86.43 | 7.11 | 97.70
cad yellow Primrose |  | ReflectanceDerived | 92.52 | -16.42 | 82.55
Cadmium Yellow Light |  | ReflectanceDerived | 90.86 | -10.05 | 93.92
Carbon Black |  | ReflectanceDerived | 25.66 | 0.23 | 0.17
Cerulean Blue Deep |  | ReflectanceDerived | 35.98 | -10.20 | -25.86
Chromium Oxide |  | ReflectanceDerived | 44.84 | -20.60 | 17.83
Chromium Oxide Dark |  | ReflectanceDerived | 33.95 | -12.23 | 9.53
Cobalt Green |  | ReflectanceDerived | 34.88 | -18.98 | 2.38
Cobalt Teal |  | ReflectanceDerived | 62.79 | -40.31 | -12.72
Cobalt Titanate Green |  | ReflectanceDerived | 60.09 | -37.28 | 22.94
Cobalt Turquoise |  | ReflectanceDerived | 41.64 | -27.03 | -11.73
Green Gold |  | ReflectanceDerived | 46.43 | -16.73 | 31.79
Hansa Yellow Light |  | ReflectanceDerived | 89.53 | -10.68 | 88.03
Hansa Yellow Medium |  | ReflectanceDerived | 80.87 | 12.23 | 92.75
Hookers Green Hue |  | ReflectanceDerived | 26.35 | -1.36 | -0.46
Indian Yellow Hue |  | ReflectanceDerived | 55.05 | 30.56 | 48.81
Jenkins Green |  | ReflectanceDerived | 25.66 | -3.41 | -0.17
Manganese Blue Hue |  | ReflectanceDerived | 36.73 | -5.05 | -35.59
Mars Black |  | ReflectanceDerived | 25.50 | 0.39 | 0.11
Mars yellow |  | ReflectanceDerived | 47.92 | 26.09 | 28.53
Napthol red Light |  | ReflectanceDerived | 47.81 | 57.87 | 38.11
Napthol Red Medium |  | ReflectanceDerived | 37.83 | 44.49 | 22.65
Nickel Azo Yellow |  | ReflectanceDerived | 52.21 | 14.89 | 42.27
Paynes Gray |  | ReflectanceDerived | 23.58 | 0.61 | -3.04
Perm Green Light |  | ReflectanceDerived | 45.32 | -52.95 | 18.10
Permanent Maroon |  | ReflectanceDerived | 26.80 | 5.72 | 0.16
Permanent Violet Dark |  | ReflectanceDerived | 26.54 | 8.49 | -5.51
Prussian Blue Hue |  | ReflectanceDerived | 24.04 | 2.32 | -3.04
Pyrrole Red Dark |  | ReflectanceDerived | 38.09 | 49.80 | 23.04
Pyrrole Red Light |  | ReflectanceDerived | 48.04 | 60.83 | 39.48
Quin Burnt Orange |  | ReflectanceDerived | 29.27 | 15.60 | 7.42
Quin Crimson |  | ReflectanceDerived | 26.29 | 13.64 | 3.19
Quin Nickel Azo |  | ReflectanceDerived | 36.94 | 22.36 | 19.28
Quin Red Light |  | ReflectanceDerived | 42.53 | 47.86 | 22.73
Quin Violet |  | ReflectanceDerived | 30.05 | 28.51 | 8.00
Raw Sienna |  | ReflectanceDerived | 51.86 | 14.00 | 32.38
Raw Umber |  | ReflectanceDerived | 29.44 | 1.54 | 4.44
Red Oxide |  | ReflectanceDerived | 39.41 | 31.52 | 22.78
Sap Green Hue |  | ReflectanceDerived | 27.61 | -3.52 | 3.04
Terre Verte Hue |  | ReflectanceDerived | 35.85 | -8.60 | 8.52
Titan Buff |  | ReflectanceDerived | 85.82 | 0.09 | 15.08
Titanate Yellow |  | ReflectanceDerived | 90.71 | -11.76 | 56.14
Transparent Brown Iron Oxide |  | ReflectanceDerived | 29.20 | 3.60 | 3.34
Transparent Pyrrole Orange |  | ReflectanceDerived | 50.16 | 57.97 | 43.47
Transparent Red Iron Oxide |  | ReflectanceDerived | 32.95 | 15.89 | 9.66
Transparent Yellow Iron Oxide |  | ReflectanceDerived | 48.65 | 14.90 | 28.16
Turquoise |  | ReflectanceDerived | 24.79 | 0.59 | -7.26
Van Dyke Brown Hue |  | ReflectanceDerived | 25.14 | 0.37 | 0.68
Violet Oxide |  | ReflectanceDerived | 32.52 | 20.66 | 10.04
Viridian Green Hue |  | ReflectanceDerived | 34.59 | -22.07 | -1.74
Yellow Ochre |  | ReflectanceDerived | 58.32 | 14.88 | 40.79
Yellow Oxide |  | ReflectanceDerived | 63.98 | 11.21 | 47.54
